tweets,Sentiment
"you know, they blamed millenials for killing bars of soap. where is the red carpet for saving hand sanitizer. you little shits asked for this. #coronavirus",Extremely Negative
canada s will not run out of food and essential supplies despite the unprecedented levels of demand seen amidst the novel outbreak,Positive
"with the threat of the covid-19 pandemic in the us, the best solution for everyone is to stay home. in line with this, wireless carriers have announced that they will be temporarily shutting down their retail stores to help flatten the curve.",Extremely Positive
"interestingly, as one watches hollywood films he wonders why was there zero  #socialdistancing &; why didn't they use a sanitizer to clean their hands while accepting a picture album from someone!!!

of course the future #coronavirus was the last thing on their minds ?!",Extremely Positive
these 19 gas prices though y all,Neutral
"how has india consumed so far in the first fortnight of covid-19

people have stacked up on tea, coffee, baby food, soaps, and sauces. it's the kirana stores that are doing well as opposed to large retail stores.",Positive
tesco supermarket employees are getting an extra  50 per week in their wages for an eight week period they deserve it,Neutral
"people in #yeg are not taking #coronavirus seriously. non essential work is forcing workers into each others space, grocery store patrons in each others space ? i refused my right to work today and am going into complete lockdown, i wish @jkenney would stop non essential work!",Neutral
"thanks to our ""non essential"" essential people working in warehouses,fulfillment centers,food stock workers,supermarkets,convenience stores,restaurants,fast food joints,janitors,bathroom attendants at rest stops,volunteers.please be mindful &; grateful to them #covid_19 #grateful",Extremely Positive
"i work for a major grocery store and im pretty sure none of yall are adhering to the self quarantine. #coronavirus

seriously people, go home. you bought enough eggs. you have to eat them now. what are you doing with 8 dz anyway?",Positive
"at the onset of the #coronavirus pandemic, doctors said healthy people don't need to wear masks, but now that advice is called into question. @janewells brings us the latest on the debate over the broad use of masks + tips from @onlyyoontv on @cnbc.",Positive
to all my fellow retail workers out there i say thank you. this time has been difficult and draining for us. #coronavirus is no joke and we are working overtime to satisfy all the needs for the customer. all i ask from the consumer is to not empty our shelves and panic buy other,Positive
so you've bought something online  but will coronavirus stop it from being delivered?,Negative
ok opinions please. i manage a grocery store and husband works for ups. we are working overtime hours making $$. he thinks if we get $1000 incentive we should donate it bc we dont need it. i said screw that i have more than earned it. whos right? #coronavirus #peoplevspelosi,Extremely Positive
7 ways hackers are exploiting panic for espionage and commercial gain   malicious apps   email   sms phishing     vulnerable software   face mask hand scams   discount scams via,Extremely Negative
who got a roll of paper i could have #coronavirus #toiletpaper,Neutral
since the covid 19 outbreak is closing all the gym i m here to help you with that i will be creating personalized home workout routines that come with a general meal prep program contact me for more information questions or prices,Positive
"while many businesses are shutting down to prevent the spread of the novel #coronavirus, grocery stores don't have that option. grocery workers and cashiers are considered essential roles.

listen at 
via @imnoahglick for #mtnwestnews
#covid19",Positive
at over 20k words have split covid 19 hub updates into part 1 up to april 7 and then part 2 with new insights on changes in consumer behaviour unfair pubcos duty lobby wines port,Negative
"today in the idealists in action blog: as the covid-19 pandemic increases demand at food banks, susan zumbuehl uses her senior shopping hours to collect items for those in need.

now is a great time to volunteer with, or donate to, your local #foodbank!",Extremely Positive
i am ghost writing  during this i m flexible on prices you won t have to pay me until i have something written i do need a down payment before i send you all the lyrics though,Positive
never did i think i would see the day that finding toilet paper and purell at the store would bring such emotional relief to my day... #covid19 #coronavirus #toiletpaper #purell #goldmine,Positive
"@rupeshk32328087 @narendramodi @pmoindia @sureshchavhanke @payal_rohatgi @sudarshannewstv @janardanmis @anupampkher @akshaykumar @amitshah @ddnational ""we can control covid 19 effects by adoting ayurved,social distancing,cleanliness and eating vegetarian",Neutral
dow rallies 780 points in efforts to recover covid-19 as oil prices rise 2020,Neutral
"join us for our second panel, where youll learn how americans are feeling, how their behaviors are evolving, what they are discovering thats new to them and much more!
register now, and submit your questions.


#mrx #consumerbehavior #coronavirus",Positive
"to those of you saying, if i can still do x,y,z why cant we still go out and vote?

just because you can do something (go to the grocery store, etc.) doesnt mean you should do that thing!! 

#stayhomechallenge #covid2019 #ohioprimary",Neutral
"kenyans stock your house with enough food stuffs before the prices hike .from tomorrow expect total lockdown especially in major cities like nairobi..lets not joke with the #covid_19 expect the  press briefing from the state. .#stayhome ..
retweet 
#covidiot
#coronavirusinkenya",Positive
d most important thing is to keep the basic food prices low  stable so d poor can buy d food easily u must offer cash to those who lost income due to covid 19 as all d countries r helping d people to cope with d pandemic  its economic destruction try ur best 2keep d curve flat,Neutral
"join chicago business affairs &; consumer protection ""worker's rights and resources during covid-19"" webinar tomorrow 4/14

bacp's director of labor standards will provide an overview of the regulations and protections workers should be aware of during the covid-19 outbreak.",Positive
#rusia comienza a probar #vacunas contra el #coronavirus  consumer rights watchdog,Neutral
"herd immunity can't work with a herd mentality. stop being selfish, look out for each other and filter fake news.

#stopfakenews #stoppanicbuying #stopcoronavirus #stopcovid19 
#covid19uk #coronavirus",Extremely Negative
"if your store is out of #toiletpaper , i found a great substitute in front of my neighbors house. #trump2020 #maga #kag2020 #coronavirus #cult45 #voteblue2020",Extremely Positive
"58% of customers solve urgent issues by calling support hotlines. 57% of customers prefer a flexible way to explain, ask or negotiate with customer service. covid-19 disrupted the daily business-to-consumer interaction with an unprecedented peak load - an",Extremely Positive
"@fuckyoujackdor4 @ortonion @samfr dont go to grocery store every day if you can possibly avoid it. 
if you can afford a 14 day shop, do a 14 day shop.
then stay home. for 14 days.
if you need exercise, there are lots of youtube video workouts.",Negative
real estate investing has never been so hot   19,Neutral
billings city transit drivers represented by local 190 keep the public transit moving and allow those in need to get to the pharmacy grocery store and medical care facilities during the 19 crisis,Neutral
kaduna state task force on covid 19 led by the deputy governor sabuwa balarabe today met with representatives of dealers traders of food and other essential items in sheik gumi market to address the wanton hike on the prices of food items at this critical period,Negative
coronavirus fishing industry hit by plummeting prices,Neutral
"well...i made meals for days...ate at least half of my apocalypse snacks....watched a movie and a full series on netflix.....went shopping online, and colored my roots...now what lol...#boredathome #coronavirus #canceleverythingnow",Positive
to be honest i m more afraid of the panic buyers  hoarders the families meeting for play dates the people who still go to pubs  restaurants  those who steal sanitizer from hospitals  food from donation boxes than of selfishness  indifference frighten me,Extremely Negative
to the woman who tried to cut the line outside the grocery store yesterday and then argued with me and the staff working there.... i hope your sons embarrassment is enough to make you think about how pathetic you looked #marksandspencer #coronavirus #socialdistancing,Extremely Negative
"with the current global threat of covid-19 and the reduction of companies workforce now is the time for automation!

consumers will still need your products and services. the way the consumer is purchasing is evolving. are you???",Negative
"we have become used to isolation, said ahlam al-madhoun, 45, as she shopped in a supermarket for food. will the world understand that the isolation they live in for 14 days is the same as what we have been living under for 14 years?",Extremely Negative
"all components of the global and domestic supply chain now clearly affected by covid-19, from consumer to store to warehouse to port.",Positive
"how to turn your home into a haven 
#domestica #malta #home #homefurnishings #sofas #bespokefurniture #bespoke #kitchens #online #onlineshopping #offer #freedelivery #shopping #coronavirus",Neutral
hoarding. empty shelves. supermarket fights. strict limits on packaged goods. finally some v good excuses for my crappy lunchboxes! #covid19au #coronavirus,Extremely Negative
private equity funds are seeking to get access to more capital to invest in a period where asset prices are low. they have been lobbying to have access to govt lending/grant programs to small businesses &; to fed credit lines.,Extremely Positive
"ds smith, the best #paperrecycling and #packagingcompany have seen the sheer rise in the packaging needs due to the rise of consumer demands during the #coronavirus crisis. #news #recyclingindustry #business
read the full article here?",Neutral
"can @nike not make masks? can @gillette not make antibacterial sanitizer? can @chevrolet not make respirators? 

remember this next super bowl when theyre once again telling you how to feel and what to believe. its all talk if they dont act when it matters. 

#coronavirus",Extremely Positive
"fmi highlights coronavirus is not foodborne, ensures us food supply

while the coronavirus (covid-19) has sparked consumer concern over fresh foods, fmi  the food industry association is stressing that covid-19 is not a foodborne illness.",Positive
"a first of it's kind - dgp karnataka says grocery shops and food essential shops can be open 24/7 across karnataka. so that people don't crowd just in the morning and evening. 
up government should also follow this. it will stop panic buying @myogiadityanath @dmkanpur #covid2019",Negative
could covid-19 accelerate the adoption of driverless cars? or will consumer wariness still remain a barrier?  #fleetmanagement #covid_19,Negative
info: should governments be prepared for the public reaction to a midnight lockdown speech? ghana doesnt seem to think so- mass migration and skyrocketing prices are rocking the country.,Positive
"#coronavirus #covid19 #alzheimers
family recreates supermarket for grandmother with dementia and alzheimer's | nowthis",Neutral
well said you are   correct everyone needs to support our local retail suppliers including many supermarket chains who offer home delivery of food and groceries and most important,Extremely Positive
"who else feels like this whilst doing their supermarket shop? ?
#walkaroundthingsday 
#coronavirus",Positive
the scale is different than anything we ve ever seen before   said judith smith meyer foodbank sbc s marketing communications manager thank you for helping the community understand our efforts,Positive
"it's no bloody wonder people are panic buying with shite like this in the daily rags ?
actually encouraging stockpiling #coronacrisis
#covid_19 #stophoarding

here's how much food you need to stockpile for two weeks in self-isolation due to coronavirus",Extremely Negative
"you just know the same cunts that moaned about food shortages due to brexit, are the same cunts panic buying everything #covid_19 #coronacrisis #stayathome",Extremely Negative
"@jaketapper  when you go for a walk &; you see somebody let them pass or cross the street.

bring clorox wipes for cart at grocery store. look for people who are sick then go the opposite direction and do your shopping?
#mentalhealth #covid2019 t",Negative
#5gtowers are causing the #coronavirus they basically spell it out for us. #frequencies kill. they destroy our #cells and make them #toxic. humans would not get sick much at all if we didn't have all these damn frequencies in our air. #agenda2030 #socialdistancing #toiletpaper.,Extremely Negative
"as a result of the coronavirus outbreak, 42% of consumers are shopping online more, 10% have tried #bopis services for the first time, and 13% are using bopis more frequently, from @chainstoreage. #retail #ecommerce",Neutral
"on behalf of anyone and everyone who has a loved one in the high risk group (or who simply has a heart): screw you, spring break morons.",Neutral
"using hand sanitizer is one of the most effective ways to protect yourself and others from the #coronavirus...
#stopcoronavirus #stayhomestaysafe",Extremely Positive
grocery workers like anyone on the frontlines of this pandemic need stable access to ppe testing and treatment if they are in contact with covid 19 just because they are indeed heroes doesn t mean their higher risk is inevitable  unpreventable,Extremely Positive
im disproportionately excited by the fact that tomorrow will mark 17 days since our last supermarket delivery (no interim shop visits) and @sainsburys are arriving at 8ish with a massive restock #stayhomesavelives,Positive
my face when my mother asks for something from the grocery store 15 minutes after ive ordered through their pickup service. #coronavirusoutbreak #lockedinwithmom #covid2019,Neutral
"#coronavirus lingers in air longer than previously thought, scientists claim. #researchers find particles carrying the virus can remain in the air for several minutes after a #covid-19 sufferer coughs.",Negative
"we were curious how heb managed to be so prepared for the coronavirus so @paulaforbes and i found out: it turns out they started talking with chinese retailers in january to learn from them, and began wargaming pandemic simulations on feb 2",Positive
panic buying is selfish. there is no need for it,Extremely Negative
the companies involved in #senegal's first oil project will meet to discuss the impact of #covid-19 on oil prices and the consequent effects on their planned $4.2bn investment. they dont see any delay in the 2023 first oil date.,Negative
"as we take stock of the possible reasons behind disease outbreaks like #covid_19, we must explicitly consider the role of industrial food production. this recent @guardian article provides a good starting point to understand these issues  (1/3)",Extremely Positive
this made me smile st bernard s are such a resourceful breed,Positive
liquor company turns sanitizer maker amid #coronavirus outbreak,Neutral
"thank you ? to every single person across this ? that has put themselves on the front line of the fight against #covid_19. doctors, nurses, first responders, researchers, politicians, grocery store employees &; whoever else is helping that im missing. thank you ?",Positive
"health food store worker at foleo otsu ichiriyama shopping mall found to have covid-19 on april 4, forcing most of the mall to close and disinfect from april 5 until further notice. only the supermarket and drugstore remain open. #?????????",Neutral
"wonky times that we live in:

historic. g20 (includes india japan china etc - major consumers) agreed for opec+ oil producers to cut production to raise prices.

us - largest consumer, significant producer &; opec critic - led the deal

#oil #opec  #oilpricewar #covid2019",Negative
#covid-19 #youtube trends - think with google,Neutral
"consumer complaints of covid-19 fraud surpass 15,000",Extremely Negative
"@ismaarl @futtarufureytha @muhammadhsiraj @thyyms @stoplc yes that could be the solution! resources for distribution should be added at a time when resources cld become thin. 
the state controlled the prices, which is also a good move. i cant figure o",Extremely Positive
what y all been waiting for aquatic with 727  kai ken out now on,Neutral
"printed store flyers may not come back as covid-19 changes retail habits
   would love it if these just went away.",Extremely Positive
"local, family run pharmacy jacking up prices for basics on a daily basis, extorting people during a time when society needs to stick together, not exploit each other. that's for to be completely wrong, right? #covid19 #coronavirus #ripoff",Negative
"the longer-lasting effects of the outbreak on consumer habits are difficult to predict, but some companies are already updating strategies in the face of temporary snd/or permanent changes in some markets or business models. #covid-19 cfo pulse survey: pwc",Negative
"david nabarro at a world economic forum on covid 19. the economy can only survive if the public health part works, because otherwise it would really damage markets, supply chains and consumer confidence.""
it's not a trade off. no economy without a healthy society.",Negative
modi also announced an economic task force to deal with coronavirus impact but no details insisted that there are enough food medicine supplies and asked people not to panic,Positive
"u.s. covid sniper

strange americans! we in italy because of covid-19 we queue to buy food, disinfectants, gloves and masks, they instead queue to stock up on ammunition and weapons.
do they believe to annihilate the virus with shots and pistols?",Negative
is this what they meant by comfort food is in high demand? #coronavirus #selfisolation #comfortfood #toronto,Positive
thank you @worldmarket for paying your employees during the retail store shut-down! i am a loyal customer and decisions like these will ensure i (and i'm sure others) will remain so. #peopleoverprofits #coronavirus,Extremely Positive
have you seen our latest news?,Neutral
"delivering food every week is what we do @unitedfoodbank! thanks again 2 all volunteers &; the @aznationalguard 4 their extra help as we work through the covid-19 pandemic &; increased service demand. follow us on social 4 more. stay healthy, stay safe, stay united!",Extremely Positive
my second time at amanfrom market. hoping this time the prices of goods wont be as expensive as the previous time (todays prices has been adjusted to include #covid-19 inflation of 60% though),Extremely Positive
"interview with:

melissa bondy, phd
chair, department of epidemiology and population health
stanford university

  #coronavirus #covid19",Neutral
"im not making light of the situation
sometimes humor is a good coping mechanism
went to the supermarket today 
they told me to wear a mask and gloves 
thought that was enough
they lied
everybody else was wearing clothes.
#covid_19 
#coronavirusoutbreak 
#coronaviruspandemic",Positive
"anderson township mother uses facebook to help people create sanitizer, wipes
 / #coronavirus #foxnews",Positive
just got a fed express delivery the driver was not given a mask just hand sanitizer i gave her one i made for one of my kids it seems inexcusable that she did not have protection everyone still working exposed to others without masks should be issued a mask,Positive
"family: *fighting over who gets to go to the grocery store during pandemic* 

me: *a college student*

#coronavirus #covid?19 #quarantine",Negative
u.s. consumer insights platform @disqo has assessed how u.s. shopping habits have changed between now &; the start of the #coronavirus outbreak. cleaning supplies are the most common items being purchased... via @etail,Neutral
".@govtimwalzs new order goes into effect tonight at 5:00. help our local businesses during the #covid19 outbreak by shopping online or ordering takeout. in times of crisis, we all need to do what we can to support our communities. #supportlocal @kstp",Positive
"stay ya ass in the mother fucking house. 

no grocery store runs. no pharmacy runs. nothing other than emergencies. 

also, fuck ya evangelical bullshit, fuck ya orthodox judaism bullshit. fuck it. for fuck's sake. 

#covid_19 
#stayathome",Extremely Negative
food supply chains are strong in the covid 19 pandemic to keep them that way strong public private cooperation smart policy responses and prudent consumer behavior are essential argues director caitlin welsh,Extremely Positive
.@burlington furloughs store and distribution center workers. #coronavirus #retail #burlington #housewares #homeworld,Neutral
@r4today @bbcnickrobinson  one of the problems with supermarket #rationing is that i have heard that people are making several visits to the same supermarket to stock up. either that or going out and coming straight back in. almost needs a ticket system #,Negative
"an interesting read from @marketingweeked on consumer response to brands advertising during the #covid19outbreak 



#marketingandadvertising #consumerbehavior #coronavirus #marketingstrategy",Positive
do you think i can get my bankruptcy waived because of the #coronavirus? online shopping the past week has gotten out of control ??????????? new jordans on the way...,Neutral
"usd/cad climbs back to multi-year tops, around mid-1.4200s amid weaker oil prices by @hareshmenghani  #usdcad #coronavirus #commodities #majors #currencies",Positive
"i encourage us all to refrain from hoarding consumable products, (eg. toilet paper, preserved food), so that enough is available for everyone. supply is not diminished, so there's no need to artificially increase demand.

have your buying habits changed due to #coronavirus?
#poll",Positive
new webinar video @homeworldnews: business and logistics during covid-19. #housewares #retail #consumer #coronavirus #homeworld,Neutral
"@tiffhughes71 ive been trying to figure that out for weeks now! i have always put hand soap, sanitizer, bleach, tp on my list! i have it already so need to hoard!! i dont know wtf ppl were eating, cleaning with, or using to wipe their asses with befor",Negative
"@bigbearf1 @vdvart probably, buying too much toilet paper #coronavirus #stoppanicbuying",Neutral
during the coronavirus pandemic how is your social media usage changing,Neutral
"harvey on the death knell of consumer capitalism, if not the capitalist system itself",Negative
"i just went to the grocery store &; the #securityguards haven't been given medical gloves. this is wrong. these particular guards are hired by @gardaworld but it should be sop that they r provided medical gloves while working during the #pandemic
#covid_19 #safetyfirst #workplace",Negative
"spent more time and money at a grocery store than i ever do...? 
#covid_19",Neutral
support ken by signing  covid 19 panic mitigation for food and supplies  and i ll deliver a copy to your officials too   last delivered to,Negative
"coronavirus live updates: france struggling to curb covid-19 spread



download the epoch times app to see our exclusive coronavirus coverage and daily updates:",Negative
to all the assholes still hoarding general necessities: i better not see your bitch ass at the grocery store for the next 6 months. ? #hoarding #toiletpaper #shortage #panicbuying #coronavirus #covid19 #pandemic,Negative
"uk's poorest families suffering as free school meal vouchers delayed: supplier @edenred unable to keep up with demand for #coronavirus lockdown food vouchers, headteachers say  via @sweale",Extremely Negative
"#uklockdownnow #coronavirus so people are only allowed to go to the supermarket for essentials. guarantee that won't stop the fucking vultures all swarming there in their 1000s at opening time, how is that gonna be controlled if they claim to he there for an essential reason?",Positive
"supermarkets to recruit thousands of staff

asda is to hire more than 5,000 temporary workers who have lost their jobs due to the impact of covid-19.

lidl also says it wants to recruit 2,500 staff to help cope with the surge in demand for food and other",Neutral
local distilleries switch to making and distributing hand sanitizer during shortage | cbc news #coronavirus,Positive
at least they have toilet paper! #toiletpaper #coronavirus #snake,Neutral
central banks cut rates in emergency bid to stabilize economies.   #covid19 #coronavirus #speedreaderuk,Negative
got mad today in my grocery store due to people wearing #n95mask . you know the one only needed by #healthcareworkers doing a procedure on a #covid2019 (+) patient. half were even wearing it wrong. this is the reason we cant enough in the hospitals? #getmeppe #getusppe,Extremely Negative
"@bbcnewsnight @owenmorgs @lordmarkprice yes but the british stiff upper lip is a fallacy. the great british public are in total panic, ready to fight over every fusilli and every sheet of toilet paper?
the situation in italy ?? is desperate. shops have",Neutral
"as a result of covid-19 our retail store will be closed for walk-in business. but we are still available by phone to help our customers with their supplies.

to place an order, please phone us at 306-664-1190. we can arrange pick-up or delivery.",Extremely Positive
"i have been in line at waltermart since 7:30am today. the store will not open until 9am. there are 50+ souls in front of me already. in 2 weeks, i will start to fall in line at 6am, if online grocery deliveries are still backlogged. #covid_19",Neutral
excited to confirm @utilityweek will run a special #askusanything webinar on 17 april featuring both @ofwat &; @ofgem ceos as well as key consumer advocacy leaders to explore the utility sector's response to #coronavirus  join us!,Extremely Positive
covid-19 causes coffee prices to tumble to record 10-year low,Negative
"as the #coronavirus makes an impact around the world, many consumers are shopping online to purchase the items that they need. here are 3 things that #ecommerce businesses can do to prepare for the coronavirus pandemic.",Neutral
we re in a save our farm from collapsing mode  via if this continues for much longer the food supply may become a problem,Negative
"father law (75) completed first @sainsburys  order and didn't realise he selected the most costly time slot on a saturday! only ordered 30 of food due to budget with a 7 delivery charge, then only 4 of food delivered due to stock and was still charged the 7 ? #coronavirus",Negative
you go to the park and meet your mates one of them passes on covid 19 to you you go to the supermarket my mum is there the only time she will go out this week she catches it off you in 2 weeks you will get treatment and she won t stay the fuck at home,Positive
please remember that the milk fruit meat etc we are rushing to the grocery store to purchase each day during this pandemic is primarily harvested by immigrants documented and undocumented while many of us quarantine immigrants work hard to serve us,Positive
we have crazy samsung deals guys get the note 10 230 000 note 9 140000 s9 140 000 you cannot get this prices anywhere else,Negative
home affairs minister peter dutton says a joint police and border force operation is under way to catch criminal syndicates which are hoarding supermarket goods and selling them to black markets within australia and overseas amid the coronavirus outbreak.,Negative
"???

apple confirms devices left for repair at retail stores cant be picked up due to covid-19",Neutral
is bitcoin a safe haven? what covid-19 pandemic means for prices  kitco news  #bitcoin,Positive
"#austin #grocerystore #food #indiangrocer #covid-19
enjoy high-quality and affordable grocery shopping from vedic indian supermarket - 
#indiansupermarket",Positive
birmingham mums misery at four week wait for supermarket deliveries uk,Negative
"big packs = big savings !
we urge you to buy essentials for home and kitchen but only what is required!
click 
#essentials #grocery #pantry #coronavirus #amazonpantry
#amazon",Neutral
"@pmoindia dear sir @amazonprimenow increasing prices unreasonably in wake of lockdown announced for covid 19 , onions being sold for 140 rs per kg, similar prices for potato and other groceries",Positive
"kanti what is happening with our mpumalanga taxi's, i don't see no sanitizer anywhere??? #coronavirus",Negative
ready to go to the supermarket #covid_19,Positive
"covid-19: canadians &; americans only have 2 more days to stock up with extra food &; water before the long lockdown of all cities in the world

49ers chiefs raptors raiders canucks oilers intern internist rn nurse paramedica volunteer nhl lambo blockchain bc",Neutral
the article only glancingly touches upon you profiteering off the disaster by selling supplies to needy people with a markup.  this is apparently a substantial game mechanic! im super fascinated by this especially in light of stores marking up prices during the covid-19 crisis,Negative
leilani jordan kept working at the grocery store because she wanted to help people. she died due to coronavirus. her last paycheck was $20.64. #leilanijordan,Negative
going to supermarket tomorrow. had hell of a week as a headteacher (now key worker) so no opportunity before now. wont bulk buy anything just need some stuff. bracing my self to be patient and not throttle bulk-buying selfish muppets on their third trip in 24hrs #coronavirus,Negative
the chance to make an impact in the community is rare in prison. get more details about how inmates in #nebraska are helping during the #coronavirus pandemic:,Neutral
"today the 11th of april 2020, we reaching to 200 families. we are set to hit the road. we will share updates later in the day. ??? you too can help the lagos food bank meet the increased demand for food assistance amid the covid-19 crisis by donating b",Positive
"convenience stores &; grocery  #ceos of a essential retailers that are remaining open right now. you should be out on the store floors and touring locations. if you expect your employees to put themselves out there at this time, you do the same! #retailstong #covid_19 #retailing",Neutral
"#coronavirusoutbreak #cdc #covid_19 grocery store and walmart cashiers and workers, can't keep a 'safe distance"" from people while they're working. they get swamped. thousands of strangers a day going by them and through their lanes. they're almost guaranteed to get coronavirus.",Positive
"@pulte $hdelacerda. oil prices caused a massive slow down and now the covid-19 has caused layoffs, i havent worked since the beginning of february just trying to make sure my wife and 2 daughters are taken care of.",Extremely Positive
is becoming a business opportunity where prices are hiked for no good reason at all i bought this 120ml sanitiser at 6 000francs really rwanda juru jesse,Positive
"my going to the supermarket #lewk - doing my bit to ensure #socialdistancing 
#makeupnoob #jeffreestarcosmetics #facetattoos",Positive
"in the land of shortages, the man with toilet paper is king.

#pickuplines #smooth #toiletpaper #toiletpapercrisis #dating #flirting #badboys #suave #sundayfunday #coronamemes #coronavirus #covid19 #selfisolation",Negative
my grocery store outfit was a black void post apocalyptic nightmare. #quaratinelife #quarantinecon #quarantine #covid?19 #coronavirus #postapocalyptic #nightmarefuel,Extremely Negative
uncertainty around covid-19: energy prices are at all-time lows,Negative
there are a lot of going around from malware infested trackers to fraudulent cures to price gougers check out s consumer alert for more please share this info with your loved ones,Extremely Positive
u.s. republican senators are urging the worlds top oil exporter saudi arabia to review plans to significantly boost oil supply to the market and lower oil prices while the world is grappling with the coronavirus. #coronavirus #oilnews #oilprice #oilsupply,Positive
"governor pritzker: when you go outside, or when you must go to the grocery store pharmacy wearing something to cover your face is a good idea, based upon what the science says. #illinois #covid2019",Positive
"supermarket workers are also in the front lines. simple but effective solution. 

#covid2019",Extremely Positive
"#coronavirus impact | godrej consumer expects a low double-digit sales decline in the performance of its distributors, implying their stock levels are depleting.",Negative
there are big organisations exploiting #coronavirus to charge #extortionate prices. this is not acceptable and should be made illegal to #increasecharges in times of crisis.,Extremely Negative
"you need to sort something asap.

there's no delivery slots or click and collect available here until 12th april. food is short, foodbanks are running low and many parents have lost their income.

it's also irresponsible to announce this so late at night with no notice.",Extremely Negative
we ve got your essentials covered watch this space for more offers  no restrictions  contact less deliveries  cheaper in bulk no need to panic buy 19,Extremely Negative
thailand post has cut postal fee to a flat rate of 19 baht to encourage people to shop for consumer products online instead of going out  thailand post offers concessional rate to promote more online shopping amid covid 19 threat,Positive
pop into store and give your mother the corona virus this mother s day lt 3,Neutral
please share and help us spreading this message brighton we got you covered 19,Extremely Positive
going to the supermarket to buy essentials is one of the few things we're still encouraged to leave the house to do. here's how to minimise your risk  (via @abcnews),Positive
this is punishable by fukin beat down on site! dont care about your age! virginia teens allegedly recorded themselves coughing on produce in grocery store: police #covid #coronavirus #magarollercoaster #trumppence2020 #2a #2ashallnotbeinfringed,Positive
"perceived danger about #covid19 is high in #uae, however downplayed slightly by the youth and westerners. the majority feel the state of the #coronavirus will not become a crisis, but concern is higher among youth and locals. download full report on:",Neutral
"lockdown , good decisions and about time....... but i will be in work in the mornings!!! no i dont work at a supermarket nor am i part of the great people of the nhs #lockdownuk #coronavirus",Extremely Positive
"@narendramodi @amazonindiain @flipkartsupport @rsprasad
@pmoindia crucial time globally we all are fighting with covid-19 deadly virus. sellers using your platform to sell mask &; sanitizers on very high prices as they ignored govt of ind. notificati",Negative
there are lots of ways governments can control prices in a #crisis. and they're pretty much all bad. @pierre_lemieux at #econlog:  #coronavirus,Negative
"learn 5 takeaways of what we learned in each of our first 2 live consumer roundtable discussions, which took the pulse on consumers evolving attitudes and behaviors during the #covid-19 pandemic.  


#mrx #consumerbehavior #coronavirus",Neutral
danes solved supermarket #hoarding. they priced sanitizers 1x 5dkk  but 2x 135dkk. problem solved. #hoardshaming #coronacrisis #coronavirusnederland,Negative
"day 9 of isolation: ?
built my lockdown fort, fu corona! ?

#selfisolation #covid_19 #covid19 #coronavirus #quarantine #wfh #isolation #working #workingfromhome #socialdistancing #fort #fortress #toiletpaper #toiletrolls #bogpaper #lockdow",Extremely Negative
those who are hoarders and behind illegitimate hike in prices of things should get coronavirus first. i wish nobody does get it though. can't wish ill to anybody. but its shameful to see people making money out of ths pendamic #coronavirus #covid2019 #coronavirusinpakistan #covid,Negative
we may see an accelerated decline in junk mail too,Neutral
this is the aisle at our local grocery store in eat your heart out,Neutral
"the workers that society has suddenly decided it can't operate without are often the most poorly-rewarded. once we've gotten through the #coronavirus outbreak, we need a respectfully high #essentialworkerwage for the supermarket staff, nurses, cleaners, nursery workers...",Extremely Positive
covid-19's business and consumer impact in europe  #ecommerce #retail #economy #magento #shopify #onlineshopping,Neutral
selling sanitizers and mask   at higher prices doesn t qualify for any kind of business strategy selling people s fear at high price will lead bad vibe among the people,Extremely Negative
scam &; consumer alert: #coronavirus #covid19 hackers are pretending to be @cdcgov &; sending consumers bogus emails to steal their personal &; health info. heres a clue-by-clue visual of how to spot those bogus emails. #insurance #fraud #insurancefraud #healthcarefraud,Extremely Negative
we will never run out of good things because theres more than enough to go around for everyone. life is meant to be abundant.,Positive
"i started the #covid19 health literacy project to make sure no one is left on the sidelines of this pandemic.

excited to share the first product of this massive cross-institutional collaboration. these are being translated into 37 languages.

see more:",Positive
"in times like these where home-delivery has become a necessity, heroes like faraz ensure your delivery is received on the same day and with a smile. read the story of faraz  at 

#covid19 #onlineshopping #homedelivery #stayhome #staysafe #dubai #rak",Extremely Positive
"no toilet paper at the grocery store, so i went with plan b. #coronavirus #workaround",Negative
"when it feels like everyone else is doing their upmost to help people's financial situation through the #coronavirus crisis, @vodafoneuk put their prices up...",Neutral
"did you grab  your eco bottles yet?  consider donating one to those working on the front lines of covid-19.  medical staff, grocery store workers/delivery folks, vet staff,  etc, show them some love!",Extremely Positive
"chattanooga goodwill has temporarily closed our retail store operations. 
will you help us provide support for members of our team who have been laid off during the covid-19 pandemic?  please donate online today!",Extremely Positive
"if you can use local butchers, greengrocers and community shops. after days of empty shelves at my local supermarket my son managed to go out to local butchers and get what i needed.
#covid_19 
#coronavirus
#selfisolation
#stopstockpiling",Negative
@canon_india always leading from this front. @canon_india,Neutral
"on #lastword with @mattcooper44 @todayfm is @patdawsonitaa ceo of @itaatweets regarding flight changes due to #coronavirus and which airline is consumer friendly
only airline to abide by sec 261 is @ryanair 
worst offender is @aerlingus 
#phantomflights #playfair #consumerrights",Negative
"day 5: i thought today was thursday. we went to the post office and grocery store today. i stayed in the car. there is so much pollen everywhere.? i woke up at 5am convinced i had the virus and was gonna die.?

#quarantinelife #covid?19 #covid19 #coronavirus #shelterinplace",Negative
what happens when all the #usa low wage supermarket workers who can't afford health insurance but have to keep working need to go to the hospital? #coronavirus,Negative
